AltAGL,AltB,AltGPS,AltMSL,E1_EGT1,E1_EGT2,E1_EGT3,E1_EGT4,E1_FFlow,E1_OilP,E1_OilT,E1_RPM,FQtyL,FQtyR,GndSpd,IAS,LatAc,NormAc,OAT,Pitch,Roll,TAS,VSpd,VSpdG,WndDr,WndSpd
27.00000,820.20000,779.10000,866.90000,1068.61000,1048.12000,1066.45000,1051.16000,1.86000,58.36000,80.16000,980.10000,24.00000,24.00000,0.00000,0.00000,0.02000,0.02000,18.80000,1.86000,0.19000,0.00000,-21.26000,0.00000,0.00000,0.00000
28.00000,820.20000,779.20000,867.00000,1069.89000,1047.15000,1067.38000,1051.23000,1.86000,58.42000,80.17000,983.60000,24.00000,24.00000,0.00000,0.00000,-0.02000,0.01000,18.80000,1.87000,0.19000,0.00000,-16.21000,0.00000,0.00000,0.00000
28.00000,820.20000,779.30000,867.10000,1070.39000,1047.49000,1068.10000,1050.54000,1.85000,58.51000,80.24000,984.80000,24.00000,24.00000,0.00000,0.00000,-0.00000,-0.02000,18.80000,1.86000,0.18000,0.00000,-15.39000,0.00000,0.00000,0.00000
21.00000,820.20000,772.40000,860.20000,1069.01000,1048.21000,1068.01000,1049.58000,1.86000,58.69000,80.23000,987.10000,24.00000,24.00000,0.00000,0.00000,0.01000,-0.02000,18.80000,1.86000,0.18000,0.00000,-1.15000,0.00000,0.00000,0.00000
20.00000,820.20000,771.40000,859.20000,1068.48000,1048.54000,1068.33000,1050.11000,1.86000,58.57000,80.30000,986.40000,24.00000,24.00000,0.00000,0.00000,-0.01000,-0.01000,18.80000,1.87000,0.19000,0.00000,-0.04000,0.00000,0.00000,0.00000
19.00000,820.20000,770.50000,858.30000,1069.16000,1050.61000,1068.23000,1050.02000,1.86000,58.47000,80.32000,984.50000,24.00000,24.00000,0.00000,0.00000,0.01000,0.03000,18.80000,1.87000,0.19000,0.00000,-0.00000,0.00000,0.00000,0.00000
19.00000,820.20000,771.10000,858.90000,1067.14000,1052.53000,1067.27000,1049.52000,1.85000,58.58000,80.36000,986.30000,24.00000,24.00000,0.00000,0.00000,-0.01000,0.03000,18.80000,1.88000,0.19000,0.00000,-2.48000,0.00000,0.00000,0.00000
19.00000,820.20000,771.10000,858.90000,1064.94000,1052.04000,1068.19000,1048.08000,1.83000,58.61000,80.42000,987.50000,24.00000,24.00000,0.00000,0.00000,0.00000,0.02000,18.80000,1.85000,0.19000,0.00000,-15.17000,0.00000,0.00000,0.00000
19.00000,820.20000,771.10000,858.90000,1064.94000,1051.95000,1069.76000,1047.03000,1.84000,58.56000,80.45000,987.10000,24.00000,24.00000,0.00000,0.00000,0.00000,0.01000,18.80000,1.86000,0.20000,0.00000,-15.97000,0.00000,0.00000,0.00000
19.00000,820.20000,771.00000,858.80000,1065.95000,1053.22000,1069.27000,1047.35000,1.85000,58.49000,80.50000,985.80000,24.00000,24.00000,0.00000,0.00000,-0.01000,-0.00000,18.80000,1.85000,0.21000,0.00000,-3.43000,0.00000,0.00000,0.00000
